---------------------------  data, labels -------------------------
['1008' '2089' '265' '1883']1
['218' '153' '271' '1143']1
['1966' '1361' '322' '1470']1
['777' '1450' '1175' '1080']1
['1819' '344' '129' '946']1
['1929' '2127' '906' '205']1
['1310' '1212' '237' '1916']1
['421' '1361' '290' '52']1
['1284' '145' '39' '1702']1
['1096' '2354' '906' '1085']1
['1889' '2173' '145' '81']1
['1784' '323' '139' '1178']1
['1996' '1111' '406' '97']1
['1257' '238' '604' '47']1
['108' '384' '1798' '52']1
['1785' '2033' '271' '1777']1
['63' '652' '265' '89']1
['124' '1509' '265' '1108']1
['81' '36' '299' '831']1
['1943' '1145' '1616' '1846']1
['287' '1575' '264' '1853']1
['603' '2016' '39' '1702']1
['1785' '2033' '271' '1777']1
['1008' '1046' '39' '1702']1
['1008' '1046' '39' '1702']1
['76' '1545' '375' '908']1
['1008' '2293' '116' '1068']1
['986' '1131' '268' '409']1
['1784' '2373' '130' '167']1
['1784' '723' '169' '1168']1
['907' '2131' '129' '446']1
['1906' '1015' '134' '750']1
['1969' '1980' '265' '80']1
['937' '2108' '132' '834']1
['1819' '344' '129' '946']1
['779' '2023' '267' '148']1
['1310' '1212' '129' '1336']1
['907' '2131' '129' '446']1
['1784' '2300' '141' '1149']1
['1177' '203' '106' '1702']1
['659' '2097' '257' '1849']1
['1341' '177' '502' '834']1
['1737' '563' '1176' '111']1
['1310' '1515' '1160' '834']1
['1452' '1599' '16' '1718']1
['1310' '977' '129' '946']1
['177' '205' '267' '834']1
['637' '1387' '129' '1368']1
['1660' '701' '299' '1124']1
['1424' '463' '1008' '1067']1
['1250' '843' '268' '1846']1
['81' '36' '299' '831']1
['1047' '2335' '406' '97']1
['1365' '1015' '267' '834']1
['1819' '1841' '375' '1718']1
['1310' '946' '248' '1216']1
['1257' '2167' '303' '583']1
['1310' '1338' '1618' '1080']1
['1994' '1839' '906' '205']1
['1587' '1096' '502' '1916']1
['501' '65' '305' '1176']1
['1729' '466' '139' '1791']1
['1317' '1212' '139' '1885']1
['1785' '1695' '265' '659']1
['1047' '1783' '322' '1085']1
['1889' '209' '273' '512']1
['960' '2206' '129' '1446']1
['907' '1096' '502' '52']1
['1443' '550' '134' '274']1
['1615' '691' '96' '1702']1
['1008' '2097' '265' '1343']1
['317' '241' '266' '193']1
['1310' '1096' '202' '948']1
['1310' '2216' '257' '1846']1
['1994' '1057' '323' '558']1
['1281' '267' '265' '1627']1
['1008' '442' '21' '97']1
['1774' '2393' '264' '464']1
['374' '2140' '1739' '781']1
['188' '178' '267' '834']1
['336' '185' '147' '819']1
['1483' '1128' '280' '97']1
['1201' '1472' '271' '210']1
['1678' '151' '299' '148']1
['386' '1502' '139' '831']1
['1310' '142' '200' '1429']1
['1784' '154' '299' '192']1
['1310' '1138' '129' '974']1
['1554' '1070' '16' '908']1
['1310' '198' '265' '471']1
['1466' '1174' '265' '1618']1
['744' '1046' '314' '1702']1
['1555' '1654' '271' '156']1
['659' '1503' '77' '1212']1
['583' '2269' '267' '1350']1
['1310' '23' '129' '809']1
['1819' '14' '39' '1056']1
['1929' '2355' '147' '809']1
['386' '258' '309' '1718']1
['444' '1029' '124' '1702']1
['1047' '1046' '257' '1429']1
['1498' '1370' '139' '1641']1
['1281' '542' '129' '1846']1
['1781' '1361' '134' '1902']1
['1778' '2321' '265' '1172']1
['1784' '1887' '265' '1102']1
['407' '2176' '39' '1702']1
['287' '980' '129' '336']1
['1943' '1375' '321' '1718']1
['1260' '2211' '129' '1911']1
['1784' '459' '175' '834']1
['1203' '1331' '906' '457']1
['1784' '2097' '265' '926']1
['200' '114' '1' '1035']1
['865' '630' '265' '66']1
['408' '359' '265' '1203']1
['1310' '2396' '76' '948']1
['344' '2297' '129' '292']1
['1203' '1882' '322' '1715']1
['991' '1239' '129' '998']1
['1008' '1470' '129' '946']1
['1257' '928' '139' '335']1
['1966' '43' '36' '1175']1
['1240' '349' '142' '1702']1
['233' '1574' '604' '97']1
['336' '795' '298' '1707']1
['1576' '503' '16' '619']1
['884' '1314' '39' '1175']1
['1993' '1083' '147' '1846']1
['107' '815' '257' '213']1
['1047' '1926' '122' '757']1
['1498' '1370' '139' '1641']1
['1310' '1291' '257' '809']1
['1930' '1314' '311' '1124']1
['1336' '1062' '147' '1846']1
['946' '580' '5' '1787']1
['1562' '43' '36' '550']1
['287' '1283' '139' '1067']1
['1994' '73' '129' '1242']1
['1784' '263' '502' '1916']1
['1381' '1839' '406' '97']1
['1093' '1200' '139' '543']1
['1819' '43' '36' '1319']1
['287' '1575' '257' '1614']1
['1008' '1508' '305' '1702']1
['196' '1498' '1396' '1702']1
['203' '2208' '79' '1854']1
['336' '1538' '1396' '1702']1
['1310' '1278' '257' '1891']1
['1400' '909' '265' '551']1
['1615' '691' '96' '1702']1
['1819' '2112' '21' '97']1
['1093' '1467' '265' '1273']1
['287' '1861' '147' '636']1
['200' '114' '26' '834']1
['1784' '976' '257' '1151']1
['1310' '1212' '268' '1846']1
['654' '1810' '129' '1449']1
['399' '745' '375' '157']1
['200' '114' '106' '109']1
['285' '1861' '406' '1702']1
['1784' '676' '39' '1718']1
['1554' '1123' '139' '1816']1
['1784' '1521' '21' '893']1
['317' '1737' '129' '334']1
['1784' '1940' '39' '1707']1
['1310' '864' '906' '809']1
['1784' '2324' '39' '1707']1
['1335' '1776' '129' '1434']1
['727' '1212' '265' '775']1
['983' '2334' '171' '1106']1
['1310' '1850' '123' '903']1
['1784' '2331' '129' '946']1
['1737' '563' '1176' '111']1
['129' '2393' '604' '1702']1
['1539' '228' '139' '335']1
['1819' '344' '265' '1661']1
['1491' '1291' '147' '1846']1
['881' '2103' '322' '192']1
['287' '745' '305' '97']1
['317' '145' '16' '1702']1
['444' '2370' '129' '1051']1
['703' '1751' '257' '1151']1
['1310' '1312' '265' '867']1
['1455' '1096' '141' '1702']1
['1785' '1612' '114' '1175']1
['285' '1861' '406' '1702']1
['1784' '1405' '604' '8']1
['1784' '30' '253' '1854']1
['287' '1250' '265' '1146']1
['1008' '2022' '257' '1791']1
['1966' '1195' '129' '1378']1
['219' '2393' '39' '1044']1
['1784' '1599' '186' '874']1
['852' '882' '375' '1866']1
['386' '1860' '139' '831']1
['1929' '2382' '134' '482']1
['1801' '1338' '283' '946']1
['1163' '1566' '265' '1817']1
['1996' '1627' '139' '197']1
['1284' '145' '39' '1702']1
['344' '1677' '1056' '1068']1
['931' '1501' '273' '512']1
['1095' '1209' '152' '88']1
['1008' '1047' '129' '1846']1
['983' '1828' '1396' '97']1
['287' '390' '16' '903']1
['1051' '868' '273' '1056']1
['1761' '2393' '265' '80']1
['1903' '346' '746' '1702']1
['419' '1212' '265' '1878']1
['475' '2160' '1009' '1530']1
['1783' '1464' '906' '1434']1
['1784' '2191' '174' '738']1
['1311' '2012' '147' '1846']1
['465' '726' '267' '96']1
['1142' '433' '922' '646']1
['1150' '145' '947' '335']1
['517' '174' '139' '516']1
['1562' '43' '36' '508']1
['1558' '2003' '39' '1702']1
['1784' '98' '143' '1177']1
['1095' '1526' '268' '946']1
['1776' '1397' '267' '148']1
['1766' '1113' '190' '205']1
['1324' '32' '64' '1846']1
['1717' '340' '1396' '1702']1
['662' '882' '1396' '97']1
['1784' '2182' '305' '834']1
['1445' '875' '129' '1745']1
['1783' '1209' '265' '1146']1
['716' '2393' '36' '1916']1
['287' '456' '265' '20']1
['1784' '125' '299' '1447']1
['421' '1212' '265' '1713']1
['796' '1212' '129' '1491']1
['1801' '1338' '265' '80']1
['907' '1096' '502' '52']1
['344' '241' '268' '946']1
['810' '866' '375' '97']1
['287' '2058' '129' '787']1
['920' '1937' '22' '1068']1
['1310' '1771' '240' '148']1
['393' '646' '265' '1101']1
['491' '1008' '291' '1718']1
['1820' '1384' '139' '831']1
['1966' '1197' '122' '1862']1
['1323' '1982' '147' '1067']1
['874' '820' '39' '908']1
['1063' '1797' '322' '1085']1
['344' '522' '29' '1702']1
['658' '165' '147' '1452']1
['1047' '773' '1491' '1701']1
['336' '239' '139' '526']1
['1310' '268' '265' '647']1
['322' '1616' '320' '1702']1
['1047' '1926' '265' '1917']1
['1756' '2318' '147' '516']1
['715' '1330' '129' '258']1
['1784' '972' '16' '619']1
['1613' '1630' '257' '156']1
['1319' '396' '303' '946']1
['986' '1131' '268' '409']1
['1977' '1282' '265' '1420']1
['369' '1224' '39' '1866']1
['1203' '1882' '322' '1715']1
['1784' '1887' '265' '1102']1
['1819' '1361' '139' '1018']1
['1823' '859' '298' '834']1
['404' '1517' '16' '1718']1
['1093' '1467' '1396' '1702']1
['1310' '268' '134' '646']1
['200' '114' '134' '1516']1
['935' '1795' '147' '946']1
['1529' '2101' '137' '901']1
['149' '1406' '1355' '858']1
['1310' '9' '305' '97']1
['580' '1810' '375' '1212']1
['287' '134' '139' '831']1
['480' '647' '129' '1678']1
['946' '120' '265' '723']1
['1784' '2379' '303' '335']1
['1008' '1827' '257' '1626']1
['1985' '1890' '6' '162']1
['1095' '1209' '152' '88']1
['1988' '554' '168' '616']1
['1622' '1429' '906' '457']1
['1784' '1854' '21' '834']1
['1008' '2193' '265' '25']1
['415' '273' '39' '1175']1
['421' '1361' '290' '52']1
['1047' '1926' '122' '757']1
['287' '539' '268' '1916']1
['177' '2199' '129' '675']1
['1994' '1362' '906' '205']1
['1774' '2393' '604' '47']1
['1310' '2324' '265' '1108']1
['1788' '2132' '264' '946']1
['386' '1096' '1614' '1710']1
['1310' '1736' '129' '446']1
['977' '2096' '906' '335']1
['1795' '1118' '265' '20']1
['1500' '1592' '267' '834']1
['1047' '115' '1610' '1159']1
['1801' '1770' '265' '1272']1
['1889' '1525' '502' '834']1
['287' '1242' '16' '948']1
['1317' '1212' '257' '1690']1
['369' '1224' '39' '1866']1
['1568' '142' '200' '1429']1
['1994' '73' '129' '1242']1
['1491' '534' '16' '1868']1
['722' '248' '16' '213']1
['1424' '1214' '265' '1681']1
['386' '1468' '265' '89']1
['1164' '801' '139' '831']1
['1966' '2266' '11' '153']1
['344' '1852' '304' '834']1
['1562' '43' '36' '682']1
['1243' '926' '257' '1629']1
['344' '387' '204' '1068']1
['1801' '235' '906' '1434']1
['1784' '36' '265' '761']1
['585' '1470' '129' '1605']1
['407' '1035' '240' '1718']1
['1092' '1446' '375' '327']1
['1758' '1243' '265' '1178']1
['645' '854' '16' '1795']1
['1310' '1081' '16' '1718']1
['124' '1651' '129' '1885']1
['744' '1521' '16' '148']1
['1150' '1398' '502' '1701']1
['1611' '283' '257' '809']1
['1310' '1138' '129' '974']1
['1784' '2144' '261' '858']1
['1310' '977' '129' '946']1
['1310' '993' '129' '809']1
['287' '845' '141' '1854']1
['718' '1362' '147' '1067']1
['1466' '1174' '265' '1618']1
['1047' '1593' '92' '834']1
['1047' '1046' '265' '1466']1
['100' '36' '265' '1414']1
['899' '1769' '257' '1302']1
['1006' '527' '314' '1718']1
['374' '2393' '16' '1891']1
['344' '1132' '502' '52']1
['1491' '841' '12' '903']1
['1786' '43' '217' '1061']1
['839' '1479' '141' '1854']1
['1929' '647' '923' '1846']1
['1028' '2131' '106' '139']1
['1324' '1564' '185' '1846']1
['1008' '1070' '106' '1702']1
['1008' '546' '502' '834']1
['1562' '43' '36' '550']1
['1598' '2068' '265' '1056']1
['1053' '840' '932' '188']1
['287' '1219' '24' '946']1
['1784' '998' '265' '1536']1
['200' '114' '1' '1035']1
['287' '1710' '906' '1434']1
['1310' '1212' '129' '1911']1
['1310' '268' '134' '646']1
['1445' '875' '129' '1745']1
['1047' '1006' '129' '825']1
['287' '2209' '103' '1702']1
['287' '681' '322' '192']1
['502' '918' '906' '809']1
['850' '1212' '129' '1629']1
['950' '1422' '1550' '1469']1
['1093' '206' '74' '106']1
['1230' '1372' '273' '946']1
['1562' '43' '36' '139']1
['1710' '1926' '1614' '213']1
['1996' '1010' '265' '1713']1
['666' '1017' '265' '1292']1
['287' '1793' '1801' '1491']1
['1355' '589' '106' '1702']1
['937' '1874' '375' '903']1
['1819' '854' '21' '717']1
['980' '860' '21' '834']1
['1996' '831' '10' '849']1
['1605' '1886' '906' '1846']1
['1257' '2298' '63' '1854']1
['287' '1308' '21' '834']1
['1174' '330' '86' '202']1
['1637' '130' '321' '1868']1
['1257' '1393' '202' '893']1
['1324' '1564' '185' '1846']1
['1093' '1200' '139' '543']1
['1357' '1609' '1801' '446']1
['1095' '1209' '146' '1702']1
['1233' '1588' '61' '1743']1
['219' '1096' '1407' '1702']1
['287' '491' '23' '1702']1
['1784' '1958' '39' '1407']1
['1784' '2191' '264' '1759']1
['1913' '932' '265' '80']1
['1795' '1501' '1396' '97']1
['344' '1239' '191' '1726']1
['1310' '2027' '134' '1815']1
['659' '768' '141' '834']1
['1996' '1616' '265' '1357']1
['134' '26' '265' '843']1
['1784' '2357' '129' '1599']1
['1562' '43' '36' '806']1
['1382' '2376' '129' '1721']1
['287' '1861' '267' '139']1
['287' '1002' '1626' '1056']1
['1008' '858' '314' '1782']1
['1994' '1362' '406' '97']1
['1006' '1526' '129' '597']1
['1008' '1470' '129' '946']1
['1008' '1300' '265' '646']1
['579' '584' '273' '405']1
['1784' '2097' '134' '1082']1
['343' '1123' '245' '1707']1
['1929' '1795' '268' '383']1
['935' '1795' '147' '946']1
['1708' '2021' '182' '1537']1
['1729' '466' '139' '1791']1
['658' '165' '139' '515']1
['1101' '1477' '194' '1168']1
['1310' '142' '200' '1429']1
['1554' '2252' '129' '825']1
['1257' '1539' '139' '832']1
['1487' '1239' '71' '1864']1
['1784' '2070' '134' '646']1
['983' '2318' '149' '202']1
['1929' '647' '923' '1846']1
['1292' '1864' '26' '1702']1
['287' '845' '139' '831']1
['1767' '174' '406' '1702']1
['1096' '1442' '147' '1473']1
['1784' '1619' '257' '809']1
['1784' '2324' '39' '1707']1
['1140' '1832' '39' '1707']1
['653' '619' '299' '1386']1
['124' '603' '1' '1480']1
['1795' '1118' '265' '20']1
['287' '980' '129' '336']1
['607' '2393' '1' '796']1
['336' '185' '257' '1846']1
['1310' '811' '265' '1887']1
['1355' '589' '106' '1702']1
['1237' '1607' '129' '1846']1
['336' '1540' '142' '649']1
['379' '2145' '96' '858']1
['297' '1394' '243' '858']1
['1929' '508' '1610' '274']1
['1177' '203' '106' '1702']1
['1357' '1609' '1801' '446']1
['344' '645' '147' '1124']1
['501' '65' '305' '1176']1
['1751' '2127' '141' '1916']1
['287' '1620' '139' '335']1
['1969' '1111' '268' '1846']1
['344' '1239' '191' '1726']1
['1632' '1476' '1618' '999']1
['1878' '43' '217' '903']1
['1090' '1481' '265' '926']1
['1929' '145' '141' '834']1
['317' '145' '16' '1702']1
['1733' '834' '134' '645']1
['1929' '2382' '134' '482']1
['1784' '1619' '312' '1916']1
['674' '616' '23' '1702']1
['603' '2016' '39' '1702']1
['1784' '1178' '1610' '1281']1
['938' '2134' '322' '1715']1
['1310' '1014' '139' '1911']1
['1292' '1864' '139' '831']1
['1993' '1083' '147' '1846']1
['658' '165' '273' '367']1
['990' '1926' '129' '151']1
['1243' '347' '139' '1029']1
['287' '1338' '134' '1751']1
['1929' '1795' '268' '383']1
['1784' '605' '265' '1403']1
['381' '1705' '11' '1718']1
['1428' '1222' '141' '1916']1
['369' '2335' '906' '1434']1
['287' '1996' '129' '1037']1
['498' '161' '187' '1703']1
['322' '174' '303' '946']1
['1880' '1090' '1618' '1422']1
['1774' '1462' '142' '649']1
['1047' '1926' '502' '202']1
['219' '1096' '1407' '1702']1
['344' '2169' '404' '893']1
['1428' '1222' '141' '1916']1
['491' '495' '39' '1702']1
['1784' '562' '322' '1885']1
['407' '1828' '257' '1891']1
['1604' '271' '26' '1674']1
['1994' '2143' '139' '543']1
['1554' '1123' '139' '1816']1
['1774' '2393' '147' '946']1
['1093' '737' '265' '1178']1
['287' '2358' '502' '575']1
['1929' '1927' '932' '645']1
['1516' '1461' '139' '159']1
['685' '1971' '264' '1041']1
['415' '240' '1618' '831']1
['1819' '1800' '39' '97']1
['893' '2134' '129' '809']1
['381' '1705' '11' '1718']1
['1157' '683' '21' '52']1
['1125' '2331' '21' '1916']1
['1310' '68' '320' '1710']1
['287' '1338' '257' '1151']1
['1072' '1212' '147' '1846']1
['1498' '1370' '139' '1641']1
['1855' '1372' '906' '214']1
['1310' '811' '265' '1887']1
['344' '2278' '257' '353']1
['537' '1212' '129' '1625']1
['1047' '2124' '1610' '941']1
['38' '96' '14' '858']1
['1803' '202' '265' '4']1
['784' '746' '239' '874']1
['659' '1338' '257' '809']1
['407' '2271' '139' '335']1
['1819' '344' '257' '874']1
['379' '150' '1396' '97']1
['1275' '1093' '257' '809']1
['1101' '1477' '1396' '1702']1
['1063' '1797' '322' '1085']1
['1819' '2369' '265' '218']1
['293' '1096' '375' '1868']1
['1466' '2246' '139' '971']1
['1435' '1407' '149' '244']1
['1889' '122' '1396' '97']1
['1008' '1070' '188' '1702']1
['1784' '1654' '139' '1309']1
['1786' '43' '217' '1061']1
['1310' '2027' '134' '1815']1
['865' '630' '265' '66']1
['294' '1212' '375' '123']1
['1784' '1053' '271' '1862']1
['1784' '1045' '257' '1876']1
['1310' '145' '265' '80']1
['1611' '283' '257' '809']1
['1095' '1437' '257' '1611']1
['812' '2003' '265' '1203']1
['1047' '1926' '257' '809']1
['672' '431' '502' '619']1
['1783' '43' '217' '1846']1
['1310' '902' '268' '946']1
['583' '2269' '267' '1350']1
['1343' '17' '331' '1018']1
['1784' '143' '129' '825']1
['580' '1810' '375' '1212']1
['671' '453' '27' '1655']1
['1169' '1213' '1041' '668']0
['1310' '142' '200' '1429']1
['1774' '2393' '604' '47']1
['1784' '2039' '273' '1741']1
['1047' '1515' '502' '834']1
['1803' '648' '129' '1903']1
['386' '1361' '16' '52']1
['286' '61' '268' '1864']1
['480' '1950' '375' '234']1
['1023' '1503' '16' '948']1
['907' '240' '299' '831']1
['502' '918' '906' '809']1
['937' '2141' '39' '1368']1
['1801' '1599' '264' '1321']1
['1784' '954' '147' '1846']1
['1047' '1046' '257' '1429']1
['1994' '1768' '906' '205']1
['453' '2326' '828' '52']0
['1310' '949' '906' '946']1
['1819' '266' '906' '974']1
['287' '322' '299' '158']1
['369' '2393' '257' '1846']1
['1784' '445' '251' '995']1
['349' '2375' '139' '1749']1
['252' '1988' '375' '1275']0
['865' '630' '265' '66']1
['317' '241' '97' '290']1
['1052' '1687' '289' '1702']1
['1215' '240' '1609' '946']1
['287' '1577' '147' '1846']1
['1067' '844' '211' '487']1
['1760' '1152' '97' '1160']1
['1077' '1361' '1396' '97']1
['1008' '1795' '267' '834']1
['1784' '1368' '406' '1702']1
['1240' '2329' '932' '1421']1
['1408' '73' '129' '809']1
['814' '1512' '122' '1400']1
['1316' '211' '106' '1160']1
['668' '1982' '129' '813']1
['1969' '1976' '1614' '1535']1
['727' '905' '119' '1442']1
['1059' '1881' '39' '948']1
['336' '799' '271' '1749']1
['1008' '928' '106' '109']1
['233' '738' '1609' '1864']0
['167' '1498' '1396' '70']1
['734' '534' '273' '141']1
['1310' '1014' '139' '1911']1
['328' '1869' '23' '111']1
['1150' '2145' '147' '946']1
['1713' '2061' '142' '1702']1
['983' '1209' '268' '1846']1
['287' '845' '141' '1854']1
['1310' '654' '265' '429']1
['918' '1801' '502' '619']1
['1996' '1021' '312' '1707']1
['1791' '1839' '79' '1916']1
['1008' '782' '190' '327']1
['287' '1226' '932' '814']1
['763' '1854' '268' '1846']1
['839' '512' '375' '1702']1
['1536' '1747' '265' '1088']1
['287' '1338' '257' '1151']1
['1784' '2144' '261' '858']1
['1257' '1470' '1396' '1702']1
['199' '739' '1396' '96']1
['1569' '122' '265' '80']1
['379' '124' '142' '109']1
['935' '1164' '375' '834']1
['1784' '2379' '134' '1138']1
['1282' '1474' '190' '1168']1
['344' '1254' '502' '619']1
['1316' '949' '188' '858']1
['7' '1096' '950' '97']1
['344' '792' '502' '1916']0
['1855' '1372' '906' '214']1
['385' '1477' '268' '1429']1
['1785' '1857' '1610' '80']1
['1006' '229' '265' '654']1
['1093' '1319' '267' '1254']1
['921' '2267' '265' '1782']1
['814' '1512' '122' '1400']1
['1257' '928' '139' '335']1
['1985' '1890' '6' '162']1
['1310' '1268' '139' '1447']1
['920' '1937' '22' '1068']1
['1310' '1958' '309' '834']1
['1784' '2379' '1008' '1178']1
['1316' '145' '182' '948']1
['1784' '2039' '273' '1741']1
['1310' '1994' '271' '253']1
['1188' '1773' '268' '1846']1
['1996' '1555' '1396' '97']1
['780' '1361' '1008' '1351']1
['0' '53' '265' '695']1
['393' '646' '265' '1101']1
['1095' '1400' '147' '1037']1
['1333' '2130' '605' '1819']0
['960' '1459' '958' '742']0
['1994' '2143' '139' '543']1
['62' '60' '21' '834']1
['287' '679' '139' '1911']1
['293' '145' '134' '1420']1
['336' '294' '268' '1846']1
['1784' '2097' '265' '926']1
['1774' '1462' '142' '649']1
['386' '219' '268' '1846']1
['937' '2141' '39' '1368']1
['386' '146' '257' '515']1
['1165' '1816' '257' '1876']1
['1819' '1099' '119' '1189']1
['1310' '2216' '257' '1846']1
['317' '2396' '139' '1049']1
['1855' '2330' '265' '216']1
['1784' '1232' '322' '543']1
['1219' '314' '187' '1702']1
['95' '2175' '320' '52']1
['1829' '2131' '265' '1035']1
['1776' '1397' '267' '148']1
['946' '1668' '129' '809']1
['336' '1121' '267' '834']1
['759' '1484' '1178' '141']1
['1310' '142' '200' '1429']1
['287' '1698' '502' '244']1
['1725' '314' '314' '1652']1
['501' '1096' '896' '1702']1
['499' '1105' '242' '1168']1
['1784' '889' '265' '1111']1
['1784' '564' '375' '1701']1
['232' '1499' '855' '1891']0
['1937' '2068' '147' '757']1
['287' '377' '139' '1364']1
['864' '1185' '322' '515']1
['859' '1895' '201' '1556']0
['287' '559' '45' '948']1
['1316' '949' '188' '858']1
['1279' '1838' '11' '1168']1
['1708' '2021' '182' '1537']1
['7' '1096' '950' '97']1
['287' '1757' '146' '948']1
['1662' '123' '17' '185']0
['1898' '171' '147' '1846']1
['881' '2103' '322' '192']1
['1806' '423' '79' '408']1
['789' '1937' '139' '159']1
['1310' '929' '129' '1387']1
['774' '43' '36' '1429']1
['1955' '1514' '375' '834']1
['1934' '1460' '257' '562']1
['1047' '509' '267' '109']1
['1529' '2101' '137' '901']1
['1281' '267' '265' '1627']1
['1784' '338' '39' '1036']1
['658' '142' '95' '858']1
['937' '815' '158' '213']1
['1417' '1748' '142' '1556']1
['1969' '1976' '1614' '1535']1
['1801' '1364' '310' '192']1
['232' '2394' '1092' '1891']0
['1310' '1653' '260' '1919']1
['1613' '1630' '257' '156']1
['1784' '62' '299' '1491']1
['344' '874' '1616' '1846']1
['1095' '1209' '146' '1702']1
['809' '597' '11' '52']1
['287' '1847' '129' '1846']1
['552' '605' '39' '112']1
['1966' '1096' '156' '93']1
['695' '205' '299' '506']1
['1439' '811' '528' '1157']1
['1554' '727' '268' '314']1
['499' '1105' '242' '1168']1
['1784' '1521' '21' '893']1
['1095' '583' '139' '332']1
['1936' '1582' '1008' '946']1
['1257' '332' '79' '1916']1
['287' '134' '139' '831']1
['1188' '1773' '268' '1846']1
['410' '845' '267' '1702']1
['1784' '239' '240' '1701']1
['710' '1361' '139' '159']1
['1997' '146' '257' '1585']1
['1785' '1612' '114' '1175']1
['931' '208' '141' '1854']1
['196' '1498' '1396' '1702']1
['1310' '2150' '129' '966']1
['449' '960' '39' '1702']1
['1943' '716' '129' '1660']1
['1006' '233' '39' '948']1
['386' '2128' '1328' '1373']0
['1550' '338' '203' '1189']1
['112' '2335' '406' '97']1
['232' '1851' '855' '1891']0
['881' '112' '21' '1702']1
['1233' '1586' '147' '1429']1
['1784' '2311' '265' '20']1
['881' '816' '265' '1514']1
['1047' '279' '299' '831']0
['1774' '2393' '264' '464']1
['1093' '2078' '139' '538']1
['823' '2245' '308' '1189']1
['1966' '1096' '156' '93']1
['1090' '733' '142' '1702']1
['386' '1502' '265' '913']1
['1310' '2141' '257' '314']1
['1972' '816' '1239' '1743']0
['1266' '2214' '139' '1143']1
['1894' '2127' '11' '1718']1
['814' '1512' '122' '1400']1
['1125' '2331' '21' '1916']1
['96' '127' '268' '1503']1
['287' '84' '906' '1085']1
['1784' '2357' '129' '1599']1
['1288' '1353' '139' '311']1
['1516' '1461' '139' '159']1
['344' '78' '1747' '758']0
['1341' '939' '1188' '1439']0
['1219' '314' '187' '1702']1
['1157' '2111' '129' '1846']1
['1906' '1706' '502' '717']1
['1943' '2394' '1739' '1027']1
['92' '288' '1739' '1864']0
['754' '572' '162' '52']1
['1784' '1412' '502' '903']1
['1047' '115' '1610' '1159']1
['407' '838' '299' '192']1
['1257' '1060' '129' '1336']1
['734' '534' '273' '141']1
['1906' '242' '265' '66']1
['142' '2128' '1761' '1034']0
['1569' '43' '36' '202']1
['977' '2096' '906' '335']1
['1829' '2131' '265' '1035']1
['105' '416' '1611' '273']0
['1617' '2130' '1216' '1875']0
['462' '1379' '502' '52']1
['1784' '2355' '1761' '235']0
['287' '1620' '79' '538']1
['1819' '1839' '257' '1614']1
['1493' '1212' '1175' '202']0
['1994' '722' '139' '1889']1
['155' '68' '1396' '1702']1
['1281' '1744' '1396' '1702']1
['973' '1128' '265' '1178']1
['1784' '1562' '151' '1148']1
['1310' '873' '1609' '151']0
['658' '142' '95' '1434']1
['605' '1125' '988' '1702']1
['1452' '908' '1173' '1317']1
['981' '2134' '265' '149']1
['1044' '1940' '142' '649']1
['81' '36' '299' '831']1
['1650' '327' '856' '228']1
['1784' '2070' '141' '1916']1
['983' '302' '129' '809']1
['1819' '43' '36' '1319']1
['55' '164' '299' '192']1
['884' '1043' '147' '1846']1
['1966' '1096' '129' '825']1
['356' '284' '39' '157']1
['1784' '1455' '106' '1866']1
['1414' '925' '502' '202']1
['1701' '2330' '314' '858']1
['233' '1574' '604' '97']1
['1554' '1070' '16' '908']1
['129' '2393' '604' '1702']1
['1204' '654' '305' '1710']1
['0' '1620' '906' '1434']1
['62' '60' '21' '834']1
['1331' '1940' '268' '192']1
['1784' '1997' '267' '1702']1
['1994' '73' '129' '1242']1
['1784' '122' '266' '1144']1
['1985' '1890' '6' '162']1
['379' '2145' '96' '858']1
['198' '1880' '265' '584']1
['1038' '1096' '141' '52']1
['124' '234' '139' '159']1
['1786' '2263' '1643' '303']0
['1310' '813' '129' '677']1
['287' '484' '973' '737']0
['1338' '1578' '264' '1761']1
['1360' '497' '265' '1026']1
['1784' '1488' '502' '1207']1
['1466' '2220' '268' '946']1
['1784' '564' '375' '1701']1
['1784' '1086' '147' '1846']1
['971' '1265' '39' '1160']1
['783' '311' '39' '903']1
['407' '2271' '139' '335']1
['391' '309' '264' '1429']1
['1551' '321' '75' '1175']1
['379' '1069' '143' '834']1
['344' '2172' '139' '1885']1
['1784' '2379' '134' '1138']1
['1784' '1521' '305' '1702']1
['344' '1179' '257' '1846']1
['379' '2326' '1678' '1678']0
['419' '1096' '16' '202']1
['819' '204' '257' '619']1
['1666' '1491' '1071' '1240']0
['1393' '43' '217' '809']1
['1320' '678' '322' '1885']1
['1292' '465' '147' '1473']1
['1681' '243' '628' '1803']0
['713' '375' '146' '948']1
['407' '170' '1268' '1272']0
['1966' '2131' '139' '1889']1
['1784' '562' '322' '1885']1
['1784' '216' '265' '1076']1
['449' '463' '275' '1206']1
['287' '1219' '24' '946']1
['1087' '1830' '129' '966']1
['1943' '1372' '322' '515']1
['331' '1052' '142' '649']1
['336' '294' '322' '1774']1
['782' '1614' '122' '1806']0
['444' '1029' '124' '1702']1
['923' '2127' '406' '1702']1
['386' '219' '202' '948']1
['1122' '1000' '974' '1702']0
['1750' '2131' '271' '446']1
['1095' '1209' '152' '88']1
['336' '795' '298' '1707']1
['124' '234' '142' '1500']1
['1310' '1541' '319' '441']1
['11' '1572' '147' '809']1
